5.000000000000000000e+00,3.895881394169061762e-01,4.804496955963146188e-01,4.811742187624957756e-01,7.216764402439594939e-01,5.773818964700297984e-01
1.000000000000000000e+01,5.454242799507607042e-01,6.459394150868510431e-01,6.470524299630107112e-01,6.645089832417331310e-01,6.556645354306276374e-01
1.500000000000000000e+01,6.449639929934568583e-01,6.809617300725552269e-01,7.860982072148695599e-01,6.823182670607893519e-01,7.305409274313998669e-01
2.000000000000000000e+01,5.090440338884936189e-01,5.904067863862110244e-01,7.554386085615703017e-01,5.925469519283513842e-01,6.641508010062994183e-01
2.500000000000000000e+01,4.568138318968975042e-01,5.821887591898013969e-01,8.004518734038024164e-01,5.847630358968489706e-01,6.758152319010816145e-01
3.000000000000000000e+01,3.914745140476165175e-01,5.460726810079906679e-01,7.964591636532105667e-01,5.492711349693986111e-01,6.501630069923242106e-01
3.500000000000000000e+01,3.547939006129940953e-01,5.375309060380488724e-01,8.266238168128130503e-01,5.411617391054905912e-01,6.541042641616540143e-01
4.000000000000000000e+01,3.226576301173036398e-01,5.169923213073840396e-01,8.223137818701709012e-01,5.212162858133833065e-01,6.380256690473672387e-01
4.500000000000000000e+01,3.045375004066583347e-01,5.172896871327167245e-01,8.525216958496483199e-01,5.218961506049005772e-01,6.474418133012895815e-01
5.000000000000000000e+01,2.719851299788844656e-01,4.859356484599853254e-01,8.231356762569899121e-01,4.912777585562633220e-01,6.153136285870083322e-01
